encoded,original
1738,97125478
1739,80187230
1740,22116271
1741,56802381
1742,50937910
1743,53706456
1744,72202504
1745,90113498
1746,89176760
1747,84766582
1748,42803142
1749,54531167
1750,55790788
1751,59346789
1752,80580439
1753,72680224
1754,61918572
1755,16241130
1756,23007954
1757,53776467
1758,26340736
1759,50972021
1760,60303056
1761,42762120
1762,12890112
1763,23255882
1764,97268025
1765,53709101
1766,26978904
1767,86613730
1768,23717890
1769,30847530
1770,24549062
1771,22339792
1772,56285627
1773,23097081
1774,27827530
1775,83948282
1776,80227747
1777,90582891
1778,53640434
1779,52808011
1780,83259124
1781,53725427
1782,27467015
1783,16525122
1784,83791872
1785,2948179
1786,9410027
1787,54568754
1788,82137551
1789,69550818
1790,54909107
1791,70387836
1792,12420647
1793,23245718
1794,22059406
1795,83487844
1796,84125996
1797,90879486
1798,65078509
1799,91086646
1800,29187665
1801,54756539
1802,20967423
1803,83397421
1804,54219594
1805,36034709
1806,88153846
1807,89503173
1808,55645526
1809,83567826
1810,5709685
1811,22835743
1812,59037881
1813,42582350
1814,90516865
1815,29080404
1816,28562902
1817,24572513
1818,40991837
1819,53437896
1820,66494460
1821,70720360
1822,86592539
1823,83769891
1824,85166950
1825,53323958
1826,54893962
1827,54726923
1828,27572810
1829,82833184
1830,13006745
1831,23978959
1832,69273764
1833,83748003
1834,34469101
1835,4399017
1836,28614964
1837,16206990
1838,27636693
1839,82931777
1840,69663741
1841,23237127
1842,90316803
1843,82916902
1844,97196509
1845,54750423
1846,28535743
1847,50772558
1848,59207816
1849,94064370
1850,43824659
1851,90984017
1852,82766782
1853,24719087
1854,83688791
1855,82779604
1856,83580341
1857,54294565
1858,53069560
1859,89604117
1860,82131276
1861,52238758
1862,53685430
1863,83740207
1864,90861985
1865,27434198
1866,80141072
1867,55778659
1868,54108078
1869,46114603
1870,70629428
1871,29186835
1872,26694603
1873,23782272
1874,12625043
1875,24773912
1876,13110959
1877,83210431
1878,90875101
1879,84856676
1880,34604232
1881,27280166
1882,28615345
1883,42356946
1884,88311198
1885,22536674
1886,86431176
1887,90435414
1888,85098736
1889,59027119
1890,53915799
1891,82237685
1892,90353932
1893,16412730
1894,54128638
1895,80635785
1896,29187784
1897,70547123
1898,84576865
1899,83275882
1900,81257780
1901,34276884
1902,8924569
1903,90020055
1904,54292476
1905,90850328
1906,23308115
1907,54334026
1908,90100070
1909,99822154
1910,90083683
1911,54578417
1912,28153364
1913,50897641
1914,90474176
1915,90406369
1916,24371213
1917,22270549
1918,30982296
1919,28865461
1920,53984373
1921,38563649
1922,83770335
1923,61843361
1924,90888751
1925,20988052
1926,25173984
1927,84872198
1928,80446089
1929,36675703
1930,28407917
1931,80483990
1932,87406983
1933,90331754
1934,80119281
1935,97034483
1936,53458630
1937,16419728
1938,53611590
1939,24616250
1940,24758594
1941,91771483
1942,25168075
1943,16336396
1944,54606862
1945,82412183
1946,42913464
1947,24528849
1948,54574691
1949,54231979
1950,59029398
1951,82871877
1952,70369886
1953,50817318
1954,82091561
1955,42724219
1956,68458709
1957,12795659
1958,50980351
1959,50785688
1960,52583239
1961,83778300
1962,24736311
1963,84111445
1964,54771813
1965,24914814
1966,31864114
1967,28283280
1968,83522413
1969,91036885
1970,54606027
1971,80161793
1972,86004069
1973,16919511
1974,86307774
1975,81294552
1976,86590835
1977,42847752
1978,28218351
1979,90497662
1980,53527279
1981,90102632
1982,52256755
1983,91083367
1984,45879860
1985,90828972
1986,94810600
1987,24918229
1988,53527854
1989,91030756
1990,83106541
1991,91200914
1992,50973703
1993,12946848
1994,54759260
1995,87223078
1996,72874328
1997,28371657
1998,42816054
1999,25086150
2000,12666901
2001,24542672
2002,85020415
2003,83063402
2004,82801824
2005,80428569
2006,24654388
2007,92145685
2008,82468904
2009,88639601
2010,55766990
2011,53740172
2012,90580303
2013,83596625
2014,90181122
2015,83216391
2016,47883101
2017,33680112
2018,12782036
2019,53964025
2020,52512354
2021,10833185
2022,90339469
2023,14433458
2024,55750054
2025,82952343
2026,23679919
2027,16296444
2028,54551162
2029,42684103
2030,22804328
2031,22545218
2032,70360061
2033,90071547
2034,90073974
2035,42643309
2036,28511995
2037,24463043
2038,88145781
2039,87197418
2040,83769837
2041,83622216
2042,22502891
2043,83193361
2044,90209509
2045,15559221
2046,16488581
2047,80186485
2048,90249191
2049,80254223
2050,23229421
2051,90631838
2052,53955378
2053,42643716
2054,53776760
2055,86127745
2056,54110052
2057,96949827
2058,16036320
2059,86762843
2060,24533553
2061,80399749
2062,24773005
2063,65487103
2064,54866629
2065,29006236
2066,88628169
2067,86329159
2068,69753291
2069,90430516
2070,26811551
2071,27836849
2072,86380985
2073,53871589
2074,84279416
2075,69851032
2076,12692247
2077,34300744
2078,38949861
2079,54696126
2080,80403574
2081,90237081
2082,42742687
2083,85037582
2084,4488756
2085,25008351
2086,83768041
2087,50968618
2088,85130406
2089,88025408
2090,82967654
2091,54163000
2092,66599112
2093,42666870
2094,864271
2095,50787031
2096,90228365
2097,5961033
2098,70498853
2099,91232985
2100,66358084
2101,83773564
2102,83647342
2103,80462714
2104,89726420
2105,84647989
2106,55853853
2107,66642151
2108,24898693
2109,16880810
2110,12860476
2111,24635799
2112,90640724
2113,13469457
2114,54624117
2115,24554682
2116,53553640
2117,70383965
2118,90022687
2119,42582008
2120,84396414
2121,24243560
2122,24977937
2123,90012288
2124,90422353
2125,90934707
2126,82955123
2127,90002562
2128,99887493
2129,88663762
2130,29465908
2131,91304880
2132,89015809
2133,82798617
2134,54991154
2135,50959879
2136,83428000
